timestamps
1990-12-21 00:00:00
1990-12-28 00:00:00
1990-12-31 00:00:00
1991-01-11 00:00:00
1991-01-18 00:00:00
1991-01-25 00:00:00
1991-02-01 00:00:00
1991-02-08 00:00:00
1991-02-14 00:00:00
1991-02-22 00:00:00
1991-03-01 00:00:00
1991-03-08 00:00:00
1991-03-15 00:00:00
1991-03-22 00:00:00
1991-03-29 00:00:00
1991-04-05 00:00:00
1991-04-12 00:00:00
1991-04-19 00:00:00
1991-04-26 00:00:00
1991-05-03 00:00:00
1991-05-10 00:00:00
1991-05-17 00:00:00
1991-05-24 00:00:00
1991-05-31 00:00:00
1991-06-07 00:00:00
1991-06-14 00:00:00
1991-06-21 00:00:00
1991-06-28 00:00:00
1991-07-05 00:00:00
1991-07-12 00:00:00
1991-07-19 00:00:00
1991-07-26 00:00:00
1991-08-02 00:00:00
1991-08-09 00:00:00
1991-08-16 00:00:00
1991-08-23 00:00:00
1991-08-30 00:00:00
1991-09-06 00:00:00
1991-09-13 00:00:00
1991-09-20 00:00:00
1991-09-27 00:00:00
1991-10-04 00:00:00
1991-10-11 00:00:00
1991-10-18 00:00:00
1991-10-25 00:00:00
1991-11-01 00:00:00
1991-11-08 00:00:00
1991-11-15 00:00:00
1991-11-22 00:00:00
1991-11-29 00:00:00
1991-12-06 00:00:00
1991-12-13 00:00:00
1991-12-20 00:00:00
1991-12-27 00:00:00
1991-12-31 00:00:00
1992-01-03 00:00:00
1992-01-10 00:00:00
1992-01-17 00:00:00
1992-01-24 00:00:00
1992-01-31 00:00:00
1992-02-07 00:00:00
1992-02-14 00:00:00
1992-02-21 00:00:00
1992-02-28 00:00:00
1992-03-06 00:00:00
1992-03-13 00:00:00
1992-03-20 00:00:00
1992-03-27 00:00:00
1992-04-03 00:00:00
1992-04-10 00:00:00
1992-04-17 00:00:00
1992-04-24 00:00:00
1992-04-30 00:00:00
1992-05-08 00:00:00
1992-05-15 00:00:00
1992-05-22 00:00:00
1992-05-29 00:00:00
1992-06-05 00:00:00
1992-06-12 00:00:00
1992-06-19 00:00:00
1992-06-26 00:00:00
1992-07-03 00:00:00
1992-07-10 00:00:00
1992-07-17 00:00:00
1992-07-24 00:00:00
1992-07-31 00:00:00
1992-08-07 00:00:00
1992-08-14 00:00:00
1992-08-21 00:00:00
1992-08-28 00:00:00
1992-09-04 00:00:00
1992-09-11 00:00:00
1992-09-18 00:00:00
1992-09-25 00:00:00
1992-09-30 00:00:00
1992-10-09 00:00:00
1992-10-16 00:00:00
1992-10-23 00:00:00
1992-10-30 00:00:00
1992-11-06 00:00:00
1992-11-13 00:00:00
1992-11-20 00:00:00
1992-11-27 00:00:00
1992-12-04 00:00:00
1992-12-11 00:00:00
1992-12-18 00:00:00
1992-12-25 00:00:00
1992-12-31 00:00:00
1993-01-08 00:00:00
1993-01-15 00:00:00
1993-01-22 00:00:00
1993-01-29 00:00:00
1993-02-05 00:00:00
1993-02-12 00:00:00
1993-02-19 00:00:00
1993-02-26 00:00:00
1993-03-05 00:00:00
1993-03-12 00:00:00
1993-03-19 00:00:00
1993-03-26 00:00:00
1993-04-02 00:00:00
1993-04-09 00:00:00
1993-04-16 00:00:00
1993-04-23 00:00:00
1993-04-30 00:00:00
1993-05-07 00:00:00
1993-05-14 00:00:00
1993-05-21 00:00:00
1993-05-28 00:00:00
1993-06-04 00:00:00
1993-06-11 00:00:00
1993-06-18 00:00:00
1993-06-25 00:00:00
1993-07-02 00:00:00
1993-07-09 00:00:00
1993-07-16 00:00:00
1993-07-23 00:00:00
1993-07-30 00:00:00
1993-08-06 00:00:00
1993-08-13 00:00:00
1993-08-20 00:00:00
1993-08-27 00:00:00
1993-09-03 00:00:00
1993-09-10 00:00:00
1993-09-17 00:00:00
1993-09-24 00:00:00
1993-09-30 00:00:00
1993-10-08 00:00:00
1993-10-15 00:00:00
1993-10-22 00:00:00
1993-10-29 00:00:00
1993-11-05 00:00:00
1993-11-12 00:00:00
1993-11-19 00:00:00
1993-11-26 00:00:00
1993-12-03 00:00:00
